Student_id,Age,Gender,Grade,Employed
130,20,Female,3rd Class,no
131,19,Male,1st Class,yes
132,19,Female,2nd Class,no
133,20,Male,2nd Class,yes
134,18,Female,3rd Class,no
135,21,Male,2nd Class,yes
136,19,Male,2nd Class,no
137,20,Female,3rd Class,yes
138,19,Male,2nd Class,no
139,21,Female,2nd Class,yes
140,22,Male,3rd Class,no
141,21,Female,1st Class,no
142,20,Male,2nd Class,no
143,20,Male,3rd Class,no
144,19,Female,1st Class,no
145,20,Male,3rd Class,no
146,19,Male,1st Class,yes
147,20,Female,2nd Class,no
148,18,Male,1st Class,no
149,21,Female,2nd Class,no
150,19,Male,1st Class,no
151,20,Male,2nd Class,yes
152,19,Female,3rd Class,yes
153,21,Male,3rd Class,yes
154,22,Female,3rd Class,yes
155,21,Male,1st Class,no
156,20,Female,3rd Class,yes
157,20,Male,1st Class,no
158,19,Male,1st Class,yes
159,20,Female,3rd Class,no
160,19,Male,1st Class,yes
161,19,Female,2nd Class,no
162,20,Male,2nd Class,yes
163,18,Female,3rd Class,no
164,21,Male,2nd Class,yes
165,19,Male,2nd Class,no
166,20,Female,3rd Class,yes
167,19,Male,2nd Class,no
168,21,Female,2nd Class,yes
169,22,Male,3rd Class,no
170,21,Female,1st Class,no
171,20,Male,2nd Class,no
172,20,Male,3rd Class,no
173,19,Female,1st Class,no
174,20,Male,3rd Class,no
175,19,Male,1st Class,yes
176,20,Female,2nd Class,no
177,18,Male,1st Class,no
178,21,Female,2nd Class,no
179,19,Male,1st Class,no
180,20,Male,2nd Class,yes
181,19,Female,3rd Class,yes
182,21,Male,3rd Class,yes
183,22,Female,3rd Class,yes
184,21,Male,1st Class,no
185,20,Female,3rd Class,yes
186,20,Male,1st Class,no
187,19,Male,1st Class,yes
188,20,Female,3rd Class,no
189,19,Male,1st Class,yes
190,19,Female,2nd Class,no
191,20,Male,2nd Class,yes
192,18,Female,3rd Class,no
193,21,Male,2nd Class,yes
194,19,Male,2nd Class,no
195,20,Female,3rd Class,yes
196,19,Male,2nd Class,no
197,21,Female,2nd Class,yes
198,22,Male,3rd Class,no
199,21,Female,1st Class,no
200,20,Male,2nd Class,no
201,20,Male,3rd Class,no
202,19,Female,1st Class,no
203,20,Male,3rd Class,no
204,19,Male,1st Class,yes
205,20,Female,2nd Class,no
206,18,Male,1st Class,no
207,21,Female,2nd Class,no
208,19,Male,1st Class,no
209,20,Male,2nd Class,yes
210,19,Female,3rd Class,yes
211,21,Male,3rd Class,yes
212,22,Female,3rd Class,yes
213,21,Male,1st Class,no
214,20,Female,3rd Class,yes
215,20,Male,1st Class,no
216,19,Male,1st Class,yes
217,20,Female,3rd Class,no
218,19,Male,1st Class,yes
219,19,Female,2nd Class,no
220,20,Male,2nd Class,yes
221,18,Female,3rd Class,no
222,21,Male,2nd Class,yes
223,19,Male,2nd Class,no
224,20,Female,3rd Class,yes
225,19,Male,2nd Class,no
226,21,Female,2nd Class,yes
227,22,Male,3rd Class,no
228,21,Female,1st Class,no
229,20,Male,2nd Class,no
230,20,Male,3rd Class,yes
231,19,Female,1st Class,yes
232,20,Male,3rd Class,yes
