39, State-gov,13, Adm-clerical,2174,0,40, <=50K
52, ?,9, ?,0,0,45, >50K
48, Private,9, Craft-repair,0,0,46, <=50K
23, Private,13, Handlers-cleaners,0,0,40, <=50K
71, Self-emp-not-inc,10, Sales,0,1816,2, <=50K
29, Private,9, Craft-repair,0,0,60, <=50K
42, Private,13, Other-service,0,0,50, <=50K
68, ?,2, ?,0,0,20, <=50K
25, Private,9, Other-service,0,0,40, <=50K
44, Self-emp-inc,14, Exec-managerial,0,0,40, <=50K
28, Private,9, Exec-managerial,0,0,40, <=50K
45, Self-emp-not-inc,14, Sales,0,0,40, >50K
36, Private,10, Other-service,0,0,40, <=50K
39, Federal-gov,12, Exec-managerial,0,0,42, <=50K
46, State-gov,14, Protective-serv,0,0,40, <=50K
18, Private,7, Handlers-cleaners,0,0,16, <=50K
66, Local-gov,11, Prof-specialty,0,0,20, <=50K
27, Private,9, Other-service,0,1980,40, <=50K
28, State-gov,9, Protective-serv,0,0,40, <=50K
51, Private,10, Sales,0,1977,40, >50K
27, Private,13, Craft-repair,0,0,50, <=50K
28, State-gov,13, Prof-specialty,0,0,40, >50K
27, Private,9, Sales,0,0,25, <=50K
21, Private,9, Craft-repair,0,0,40, <=50K
34, Private,9, Handlers-cleaners,0,0,40, <=50K
18, Private,9, Other-service,0,0,12, <=50K
33, Private,13, Prof-specialty,0,0,65, <=50K
44, Local-gov,10, Exec-managerial,0,0,38, >50K
43, Private,10, Adm-clerical,0,0,40, <=50K
30, Private,10, Craft-repair,0,0,45, <=50K
40, Private,4, Machine-op-inspct,0,0,40, >50K
37, Federal-gov,10, Adm-clerical,0,0,42, >50K
34, Private,9, Adm-clerical,0,0,40, <=50K
41, Self-emp-not-inc,13, Exec-managerial,0,0,40, <=50K
53, ?,13, ?,0,0,50, <=50K
31, Private,14, Prof-specialty,0,0,50, <=50K
58, State-gov,16, Prof-specialty,0,0,1, >50K
38, Private,10, Machine-op-inspct,0,0,28, <=50K
24, Private,10, Machine-op-inspct,0,0,40, <=50K
41, Local-gov,13, Craft-repair,0,0,40, <=50K
47, Private,10, Tech-support,0,0,45, <=50K
41, Federal-gov,13, Tech-support,0,0,24, <=50K
23, Private,3, Transport-moving,0,0,40, <=50K
36, Private,10, Craft-repair,0,0,40, <=50K
40, Federal-gov,14, Exec-managerial,14084,0,55, >50K
35, Private,14, Prof-specialty,7298,0,40, >50K
24, Self-emp-not-inc,9, Sales,0,0,40, <=50K
26, Private,14, Prof-specialty,0,1876,40, <=50K
19, ?,9, ?,0,0,40, <=50K
51, Private,13, Exec-managerial,0,0,50, >50K
42, Local-gov,10, Prof-specialty,0,1340,40, <=50K
37, State-gov,9, Adm-clerical,0,0,35, <=50K
18, Private,7, Sales,0,0,40, <=50K
36, Private,13, Other-service,7298,0,36, >50K
35, Private,9, Craft-repair,0,0,60, <=50K
58, Self-emp-inc,9, Sales,15024,0,35, >50K
17, Private,7, Sales,0,0,12, <=50K
44, Local-gov,9, Transport-moving,0,0,40, <=50K
37, Private,9, Craft-repair,0,0,40, >50K
35, Private,10, Sales,0,0,40, <=50K
60, Private,9, Craft-repair,0,0,40, <=50K
54, Self-emp-inc,4, Machine-op-inspct,0,0,40, >50K
37, Private,13, Exec-managerial,0,0,60, >50K
50, Private,12, Sales,0,0,40, <=50K
38, Private,13, Sales,0,0,50, <=50K
45, Private,13, Prof-specialty,0,0,55, <=50K
25, Private,6, Craft-repair,0,0,40, <=50K
31, Private,10, Handlers-cleaners,0,0,40, <=50K
64, ?,2, ?,0,0,40, <=50K
90, Private,9, Other-service,0,2206,40, <=50K
54, Private,9, Adm-clerical,0,0,20, <=50K
53, Local-gov,1, Machine-op-inspct,0,0,35, <=50K
18, Private,9, Sales,0,0,40, <=50K
60, ?,6, ?,0,0,10, <=50K
66, Self-emp-not-inc,9, Farming-fishing,1409,0,50, <=50K
75, Private,11, Adm-clerical,0,0,20, <=50K
65, Private,9, Adm-clerical,0,0,40, <=50K
35, Private,7, Transport-moving,3674,0,40, <=50K
41, Private,9, Sales,0,0,38, <=50K
25, Private,10, Adm-clerical,0,0,42, <=50K
33, Private,10, Craft-repair,0,0,40, <=50K
28, Private,15, Prof-specialty,0,0,55, >50K
59, State-gov,9, Other-service,0,0,40, <=50K
40, State-gov,10, Adm-clerical,0,0,38, <=50K
41, Private,13, Exec-managerial,0,0,50, >50K
38, Local-gov,14, Exec-managerial,0,0,70, >50K
23, Private,9, Transport-moving,0,0,40, <=50K
40, Private,13, Prof-specialty,0,0,40, >50K
41, Self-emp-not-inc,9, Other-service,0,0,20, <=50K
24, State-gov,12, Protective-serv,0,0,50, <=50K
20, ?,10, ?,0,0,20, <=50K
38, Private,10, Craft-repair,0,1741,40, <=50K
56, Private,9, Adm-clerical,0,0,35, <=50K
58, Private,9, Adm-clerical,0,0,45, >50K
32, Private,9, Other-service,0,0,34, <=50K
40, Private,12, Tech-support,0,1977,60, >50K
45, Private,9, Adm-clerical,0,0,40, <=50K
41, Private,15, Prof-specialty,0,0,40, >50K
42, Private,13, Adm-clerical,0,0,40, <=50K
59, Local-gov,6, Other-service,0,0,30, <=50K
19, Local-gov,10, Adm-clerical,0,0,40, <=50K
58, Private,10, Transport-moving,0,0,20, <=50K
42, Self-emp-not-inc,9, Farming-fishing,0,0,40, >50K
20, Private,9, Other-service,0,0,40, <=50K
32, Private,9, Other-service,0,0,30, <=50K
45, Private,11, Exec-managerial,0,0,45, <=50K
50, Private,4, Craft-repair,0,0,40, <=50K
36, Private,13, Prof-specialty,0,0,40, <=50K
45, Private,9, Sales,0,0,60, <=50K
17, Private,7, Other-service,0,0,12, <=50K
59, Private,10, Sales,4064,0,40, <=50K
26, Private,7, Craft-repair,0,0,40, <=50K
37, Self-emp-inc,10, Exec-managerial,0,0,75, >50K
19, ?,10, ?,0,0,24, <=50K
64, Private,9, Exec-managerial,0,0,40, >50K
33, Private,13, Prof-specialty,0,0,45, <=50K
33, Private,9, Craft-repair,0,0,40, >50K
61, Private,9, Exec-managerial,0,0,40, >50K
17, Private,5, Other-service,1055,0,24, <=50K
50, Self-emp-not-inc,14, Farming-fishing,2407,0,98, <=50K
27, Local-gov,14, Prof-specialty,0,0,35, <=50K
30, Private,9, Prof-specialty,0,0,40, <=50K
43, Private,9, Handlers-cleaners,0,0,40, <=50K
44, Private,10, Craft-repair,7298,0,40, >50K
35, Private,10, Exec-managerial,0,0,40, <=50K
25, Private,10, Tech-support,0,0,40, <=50K
24, Private,10, Machine-op-inspct,7298,0,48, >50K
22, Private,13, Prof-specialty,0,0,15, <=50K
42, Local-gov,10, Craft-repair,5178,0,40, >50K
34, Private,12, Sales,0,0,45, <=50K
60, Private,13, Prof-specialty,0,0,42, <=50K
21, Private,9, Handlers-cleaners,0,0,40, <=50K
57, Federal-gov,14, Sales,15024,0,40, >50K
41, Private,15, Prof-specialty,0,0,60, >50K
50, Private,10, Other-service,0,0,45, <=50K
25, Private,13, Exec-managerial,0,0,40, <=50K
50, Private,4, Craft-repair,0,0,40, <=50K
36, Private,13, Prof-specialty,0,0,45, <=50K
31, Private,9, Prof-specialty,0,0,40, <=50K
29, Local-gov,13, Protective-serv,0,0,56, <=50K
21, Private,10, Sales,0,0,45, <=50K
27, Private,13, Tech-support,0,0,40, <=50K
65, Private,9, Transport-moving,0,0,16, <=50K
37, Self-emp-inc,13, Sales,0,0,60, <=50K
39, ?,14, ?,3464,0,40, <=50K
24, Private,9, Craft-repair,0,0,40, <=50K
38, Private,9, Sales,0,0,80, <=50K
48, Private,13, Adm-clerical,7688,0,40, >50K
21, Private,10, Other-service,0,0,25, <=50K
31, Private,9, Transport-moving,0,0,45, >50K
55, Private,9, Sales,4386,0,40, >50K
24, Private,10, Adm-clerical,0,0,40, <=50K
43, Private,9, Adm-clerical,0,0,40, <=50K
26, Private,12, Tech-support,0,0,45, <=50K
46, Private,12, Prof-specialty,0,0,33, <=50K
35, Private,12, Adm-clerical,0,0,40, >50K
41, Self-emp-inc,10, Farming-fishing,0,0,54, >50K
26, Private,13, Sales,0,0,40, <=50K
34, Private,14, Exec-managerial,7298,0,35, >50K
19, ?,10, ?,0,0,25, <=50K
36, Self-emp-not-inc,13, Prof-specialty,0,0,40, >50K
22, Private,10, Sales,0,0,15, <=50K
24, Private,10, Machine-op-inspct,0,0,40, <=50K
77, Self-emp-not-inc,10, Sales,0,0,40, <=50K
22, Private,3, Machine-op-inspct,0,0,40, <=50K
29, Private,10, Tech-support,0,0,40, <=50K
62, Private,9, Other-service,0,0,24, <=50K
39, Self-emp-not-inc,9, Exec-managerial,0,0,40, <=50K
43, Private,10, Craft-repair,0,1485,50, <=50K
35, Private,9, Transport-moving,0,0,45, <=50K
29, Private,7, Exec-managerial,0,0,40, <=50K
76, Self-emp-not-inc,14, Craft-repair,0,0,10, <=50K
63, Self-emp-not-inc,9, Farming-fishing,0,0,45, <=50K
23, ?,11, ?,0,0,15, <=50K
43, Private,10, Prof-specialty,0,1887,50, >50K
58, Self-emp-not-inc,9, Handlers-cleaners,0,0,40, <=50K
66, Private,9, Transport-moving,2050,0,55, <=50K
41, Private,10, Craft-repair,0,0,45, <=50K
26, Private,13, Adm-clerical,0,0,40, <=50K
47, Private,11, Other-service,0,0,40, <=50K
55, Local-gov,6, Adm-clerical,0,0,40, <=50K
53, Private,9, Transport-moving,0,0,40, <=50K
17, Private,3, Other-service,0,0,48, <=50K
30, Private,9, Craft-repair,0,0,40, <=50K
49, Private,14, Prof-specialty,0,0,60, <=50K
19, Private,9, Sales,0,0,30, <=50K
45, Private,9, Other-service,0,0,40, <=50K
26, Private,12, Sales,0,0,40, <=50K
38, Private,11, Craft-repair,7298,0,40, >50K
36, State-gov,9, Protective-serv,7298,0,40, >50K
33, Private,9, Farming-fishing,0,0,20, <=50K
22, State-gov,10, Protective-serv,0,0,40, <=50K
43, Self-emp-not-inc,13, Sales,0,0,42, <=50K
67, ?,7, ?,0,0,8, <=50K
30, ?,11, ?,0,0,40, <=50K
56, Private,12, Other-service,0,0,25, <=50K
31, Private,13, Prof-specialty,0,0,25, <=50K
33, Private,13, Exec-managerial,0,0,40, >50K
26, Private,9, Other-service,0,0,40, <=50K
33, Private,13, Exec-managerial,0,0,40, >50K
46, Local-gov,7, Transport-moving,0,0,30, <=50K
59, ?,13, ?,0,0,40, >50K
38, Federal-gov,9, Adm-clerical,0,0,40, >50K
65, Private,7, Other-service,0,0,40, <=50K
40, Private,11, Tech-support,0,0,40, >50K
42, Private,9, Adm-clerical,0,0,35, <=50K
26, Self-emp-not-inc,5, Craft-repair,0,0,40, <=50K
36, Private,6, Other-service,0,0,24, <=50K
62, Private,14, Prof-specialty,0,0,40, >50K
43, Private,13, Transport-moving,0,0,45, <=50K
43, Private,13, Exec-managerial,0,1564,45, >50K
22, Private,9, Sales,0,0,55, <=50K
28, Private,9, Craft-repair,0,0,40, <=50K
56, Self-emp-not-inc,10, Sales,0,0,45, <=50K
22, Private,12, Sales,0,0,15, <=50K
57, Private,13, Exec-managerial,0,0,45, >50K
39, Private,9, Sales,0,0,40, <=50K
26, Federal-gov,10, Adm-clerical,0,0,15, <=50K
17, Private,7, Other-service,0,0,10, <=50K
40, State-gov,11, Machine-op-inspct,0,0,38, >50K
45, Private,9, Machine-op-inspct,0,0,40, <=50K
44, Private,9, Craft-repair,0,0,40, <=50K
20, Local-gov,10, Adm-clerical,0,0,10, <=50K
33, Private,9, Craft-repair,0,0,40, <=50K
23, Private,10, Sales,0,0,40, <=50K
46, Self-emp-not-inc,14, Exec-managerial,0,0,30, <=50K
38, Private,9, Sales,0,0,50, <=50K
54, Private,9, Transport-moving,0,0,40, <=50K
46, Private,3, Craft-repair,0,2339,45, <=50K
25, Private,10, Craft-repair,0,0,40, <=50K
46, Private,10, Sales,0,0,40, <=50K
36, Local-gov,10, Transport-moving,0,0,40, <=50K
23, Private,9, Other-service,0,0,25, <=50K
29, Private,9, Machine-op-inspct,0,0,40, <=50K
44, Private,10, Adm-clerical,0,2415,6, >50K
19, Private,10, Adm-clerical,0,0,16, <=50K
19, Private,9, Other-service,0,0,40, <=50K
35, Private,9, Other-service,0,0,40, >50K
27, Private,13, Craft-repair,0,0,50, <=50K
46, Self-emp-not-inc,12, Craft-repair,0,0,40, <=50K
34, State-gov,13, Exec-managerial,7688,0,45, >50K
34, Private,9, Other-service,0,0,35, <=50K
44, Private,10, Tech-support,0,0,40, <=50K
45, Private,10, Handlers-cleaners,0,0,40, <=50K
20, ?,9, ?,0,0,35, <=50K
25, Private,13, Exec-managerial,0,0,55, >50K
52, Self-emp-inc,13, Exec-managerial,0,0,50, >50K
20, Private,10, Handlers-cleaners,0,0,40, <=50K
28, Private,10, Other-service,0,0,40, <=50K
50, State-gov,13, Protective-serv,0,0,40, >50K
34, Private,11, Tech-support,0,0,64, <=50K
28, Private,4, Handlers-cleaners,0,2179,40, <=50K
41, Private,14, Exec-managerial,0,1977,65, >50K
28, Private,9, Adm-clerical,0,0,40, <=50K
46, Self-emp-not-inc,9, Craft-repair,0,0,25, <=50K
28, ?,10, ?,0,1887,40, >50K
32, Private,10, Exec-managerial,0,0,50, <=50K
41, Local-gov,10, Other-service,0,0,24, <=50K
24, Private,9, Handlers-cleaners,0,0,40, <=50K
33, Private,10, Exec-managerial,0,0,40, <=50K
46, Private,16, Exec-managerial,15024,0,60, >50K
31, State-gov,10, Machine-op-inspct,0,0,40, <=50K
35, Private,8, Craft-repair,0,0,50, >50K
52, Private,2, Machine-op-inspct,0,0,40, <=50K
30, Private,7, Other-service,0,0,19, <=50K
34, Local-gov,7, Machine-op-inspct,0,0,40, <=50K
34, State-gov,9, Transport-moving,0,0,40, <=50K
20, Private,10, Sales,0,0,30, <=50K
17, Private,7, Handlers-cleaners,2176,0,18, <=50K
32, State-gov,13, Exec-managerial,0,0,40, >50K
29, Private,9, Farming-fishing,0,0,40, <=50K
33, Private,6, Craft-repair,0,0,35, <=50K
25, Private,9, Transport-moving,0,0,60, <=50K
36, Federal-gov,14, Prof-specialty,0,1408,40, <=50K
23, Private,9, Handlers-cleaners,0,0,72, <=50K
63, Self-emp-inc,9, Exec-managerial,0,0,40, >50K
47, Local-gov,14, Prof-specialty,0,0,40, <=50K
80, ?,9, ?,0,0,24, <=50K
17, ?,7, ?,0,0,40, <=50K
40, Self-emp-not-inc,13, Prof-specialty,2174,0,40, <=50K
30, Private,12, Other-service,0,0,25, >50K
27, Private,10, Craft-repair,0,1980,40, <=50K
33, Private,14, Prof-specialty,0,0,50, >50K
34, Local-gov,9, Farming-fishing,594,0,60, <=50K
34, Local-gov,10, Protective-serv,0,0,40, <=50K
23, Private,10, Adm-clerical,0,0,40, <=50K
42, Local-gov,10, Adm-clerical,0,0,40, <=50K
29, Private,13, Prof-specialty,0,0,40, <=50K
45, Private,9, Adm-clerical,0,0,28, <=50K
24, Federal-gov,9, Armed-Forces,0,0,40, <=50K
44, Private,10, Prof-specialty,0,0,40, >50K
27, Private,5, Craft-repair,0,0,40, <=50K
20, Private,10, Sales,0,0,35, <=50K
44, Private,9, Exec-managerial,0,0,40, <=50K
51, Private,9, Craft-repair,0,0,40, <=50K
20, Private,9, Machine-op-inspct,0,0,40, <=50K
17, ?,7, ?,0,0,5, <=50K
19, Private,9, Machine-op-inspct,0,0,40, <=50K
45, Self-emp-inc,10, Craft-repair,0,0,55, >50K
60, Private,9, Craft-repair,0,0,40, >50K
42, Private,12, Exec-managerial,0,0,40, >50K
44, Self-emp-not-inc,9, Sales,0,0,40, >50K
40, Private,11, Machine-op-inspct,0,0,40, >50K
30, Private,9, Exec-managerial,0,0,40, <=50K
38, Private,10, Transport-moving,0,0,50, <=50K
23, Private,9, Transport-moving,0,0,60, <=50K
32, ?,10, ?,0,0,40, <=50K
44, Private,12, Farming-fishing,0,0,40, <=50K
54, Local-gov,9, Transport-moving,0,0,40, <=50K
32, Private,13, Prof-specialty,0,0,50, <=50K
50, Private,2, Craft-repair,0,0,40, <=50K
24, Private,13, Tech-support,0,0,20, <=50K
37, Private,9, Adm-clerical,0,0,60, <=50K
52, Private,9, Transport-moving,0,0,40, <=50K
38, Private,10, Transport-moving,0,0,40, <=50K
49, Private,14, Exec-managerial,0,1977,45, >50K
30, Private,13, Tech-support,0,0,16, >50K
60, Private,10, Prof-specialty,0,0,40, >50K
22, ?,10, ?,0,0,40, <=50K
35, Private,9, Craft-repair,0,0,40, <=50K
30, Private,9, Transport-moving,0,0,60, <=50K
67, Private,11, Other-service,0,0,24, <=50K
46, Private,13, Craft-repair,0,0,40, <=50K
17, Private,5, Other-service,0,0,6, <=50K
22, Private,10, Handlers-cleaners,0,0,30, <=50K
27, Private,6, Other-service,0,0,40, <=50K
23, Private,9, Other-service,0,0,35, <=50K
33, Private,12, Craft-repair,0,0,45, <=50K
43, Self-emp-not-inc,10, Craft-repair,0,0,20, <=50K
28, State-gov,13, Prof-specialty,0,0,20, <=50K
41, Private,9, Craft-repair,0,0,40, <=50K
52, ?,8, ?,594,0,40, <=50K
25, Private,10, Adm-clerical,0,0,20, <=50K
63, ?,2, ?,0,0,35, <=50K
59, Local-gov,9, Transport-moving,0,0,45, <=50K
45, Local-gov,13, Prof-specialty,0,0,40, <=50K
38, Private,13, Sales,15024,0,60, >50K
40, Private,9, Other-service,0,0,35, <=50K
46, Federal-gov,9, Adm-clerical,0,0,40, <=50K
35, Private,12, Exec-managerial,0,0,60, <=50K
34, Private,9, Prof-specialty,0,0,25, <=50K
33, Private,13, Craft-repair,0,0,20, <=50K
41, Private,9, Adm-clerical,0,0,36, <=50K
20, Private,10, Machine-op-inspct,0,0,40, <=50K
23, Private,3, Other-service,0,0,40, <=50K
26, Private,10, Prof-specialty,0,0,35, <=50K
72, ?,9, ?,0,0,20, <=50K
23, Local-gov,9, Farming-fishing,0,0,40, <=50K
62, Local-gov,9, Transport-moving,0,0,40, <=50K
52, Private,10, Adm-clerical,0,0,40, <=50K
58, Private,10, Other-service,0,0,42, <=50K
25, Private,13, Sales,0,0,40, <=50K
24, Private,13, Exec-managerial,0,0,40, <=50K
19, Private,10, Protective-serv,0,0,8, <=50K
43, Private,10, Exec-managerial,0,0,40, <=50K
47, Local-gov,9, Adm-clerical,0,0,40, <=50K
39, Private,9, Other-service,0,0,40, <=50K
49, Private,11, Handlers-cleaners,0,1380,42, <=50K
53, ?,3, ?,0,0,30, <=50K
32, Private,11, Craft-repair,0,0,45, <=50K
34, Private,10, Prof-specialty,0,0,50, >50K
28, Private,9, Craft-repair,0,0,45, <=50K
57, ?,11, ?,0,0,38, <=50K
25, Private,10, Adm-clerical,0,0,20, <=50K
20, ?,10, ?,0,0,24, <=50K
21, ?,10, ?,0,0,35, <=50K
34, Private,13, Prof-specialty,0,0,50, >50K
38, Self-emp-inc,13, Exec-managerial,15024,0,80, >50K
50, Private,9, Exec-managerial,7688,0,50, >50K
24, Local-gov,10, Handlers-cleaners,0,0,50, <=50K
37, Local-gov,10, Tech-support,0,0,45, >50K
44, Private,10, Machine-op-inspct,0,0,58, >50K
28, Private,10, Sales,0,0,40, <=50K
42, Private,13, Exec-managerial,0,0,40, >50K
74, Private,10, Adm-clerical,0,0,9, <=50K
38, Self-emp-not-inc,9, Craft-repair,0,0,50, <=50K
44, Self-emp-not-inc,14, Prof-specialty,0,0,40, <=50K
44, Private,7, Machine-op-inspct,0,0,46, <=50K
26, Private,9, Machine-op-inspct,0,0,40, <=50K
36, Private,9, Other-service,0,0,40, <=50K
41, Private,12, Exec-managerial,0,0,50, >50K
67, Private,15, Prof-specialty,20051,0,48, >50K
39, Local-gov,8, Tech-support,0,0,50, <=50K
57, Private,2, Priv-house-serv,0,0,30, <=50K
29, Private,11, Craft-repair,0,0,40, <=50K
31, Self-emp-inc,13, Farming-fishing,0,0,45, <=50K
34, ?,9, ?,0,0,40, <=50K
